seq_no,piece,PC,resolveDir
3579,0,4316164,1,
3677,0,3896612,1,
3548,0,3896788,1,
3595,0,3909428,0,
3611,0,3909492,0,
3629,0,3909668,0,
3602,0,3909456,0,
3641,0,4316164,1,
3618,0,3909520,1,
3688,0,4316164,1,
3730,0,3923128,0,
3734,0,3923236,0,
3757,0,3925036,0,
3742,0,3924180,1,
3762,0,3925056,1,
3765,0,3925248,0,
3767,0,3925256,1,
3764,0,3925244,0,
3799,0,3395696,0,
3812,0,3395752,0,
3805,0,3395716,1,
3816,0,3395800,0,
3817,0,3395804,1,
3815,0,3395764,1,
3834,0,3395884,1,
3828,0,3395860,0,
3845,0,3399316,1,
3848,0,3399620,0,
3822,0,3395836,0,
3841,0,3396188,1,
3843,0,3399268,1,
3850,0,3399628,0,
3853,0,3399640,1,
3866,0,3399916,0,
3878,0,3400280,1,
3865,0,3399912,0,
3873,0,3399944,1,
3883,0,3400948,1,
3884,0,3401272,1,
3907,0,3925752,1,
3910,0,3925888,0,
3915,0,3925908,1,
3924,0,3926492,1,
3950,0,4316164,1,
3974,0,3912976,1,
3984,0,3913152,1,
3986,0,3913172,1,
3989,0,3913216,1,
3991,0,3913268,0,
3994,0,3913280,1,
3997,0,3913492,0,
3999,0,3913500,1,
4001,0,3913748,0,
4003,0,3913756,0,
4005,0,3913764,1,
4011,0,3913880,0,
4029,0,4385412,1,
4032,0,4385440,0,
4048,0,4385532,1,
4057,0,4385636,1,
4065,0,3913908,0,
4087,0,4316164,1,
4102,0,3896428,1,
4116,0,4316164,1,
4132,0,3745016,0,
4151,0,3745116,1,
4150,0,3745088,1,
4157,0,3745172,1,
4158,0,3745228,1,
4176,0,4385412,1,
4179,0,4385440,0,
4195,0,4385532,1,
4204,0,4385636,1,
4212,0,3745288,1,
4227,0,4316164,1,
4243,0,3901968,1,
4253,0,3902036,0,
4257,0,3902052,0,
4263,0,3902076,0,
4277,0,3902132,1,
4281,0,3902188,1,
4291,0,4316164,1,
4320,0,3898068,1,
4321,0,3898156,1,
4326,0,3898996,1,
4328,0,3899124,0,
4346,0,4341396,0,
4353,0,4341420,0,
4358,0,4341440,1,
4365,0,4341480,0,
4368,0,4341492,0,
4380,0,4341600,1,
4384,0,4342052,0,
4387,0,4342064,1,
4388,0,4343808,1,
4393,0,4343840,1,
4402,0,4343888,1,
4416,0,3899148,1,
4435,0,4316164,1,
4471,0,3896612,1,
4497,0,3896428,1,
4527,0,3901968,1,
4482,0,4316164,1,
4511,0,4316164,1,
4537,0,3902036,0,
4544,0,3902188,1,
4541,0,3902052,1,
4554,0,4316164,1,
4583,0,3898068,1,
4584,0,3898156,1,
4589,0,3898996,1,
4591,0,3899124,0,
4609,0,4341396,0,
4616,0,4341420,0,
4621,0,4341440,1,
4643,0,4341600,1,
4628,0,4341480,0,
4631,0,4341492,0,
4651,0,4343808,1,
4647,0,4342052,0,
4650,0,4342064,1,
4656,0,4343840,1,
4665,0,4343888,1,
4679,0,3899148,1,
4698,0,4316164,1,
4734,0,3896612,1,
4745,0,4316164,1,
4766,0,3844308,1,
4773,0,3844476,1,
4796,0,3844612,1,
4802,0,3844684,1,
4814,0,3844776,0,
4878,0,3896788,1,
4861,0,4316164,1,
4883,0,3896844,0,
4886,0,3896856,1,
4894,0,3897056,1,
4896,0,3897104,1,
4909,0,4316164,1,
4925,0,3901968,1,
4935,0,3902036,1,
4945,0,4316164,1,
4966,0,3746212,1,
4967,0,3746240,1,
4972,0,3746296,1,
4994,0,4316164,1,
5006,0,3897744,0,
5017,0,3897788,0,
5018,0,3897792,1,
5020,0,3897912,0,
5023,0,3897924,0,
5024,0,3897928,0,
5028,0,3897944,1,
5034,0,3897876,0,
5063,0,3896788,1,
5046,0,4316164,1,
5068,0,3896844,0,
5071,0,3896856,1,
5094,0,4316164,1,
5110,0,3901968,1,
5081,0,3897104,1,
5079,0,3897056,1,
5130,0,4316164,1,
5120,0,3902036,1,
5151,0,3746212,1,
5152,0,3746240,1,
5157,0,3746296,1,
5179,0,4316164,1,
5191,0,3897744,0,
5202,0,3897788,0,
5203,0,3897792,1,
5205,0,3897912,0,
5208,0,3897924,0,
5209,0,3897928,0,
5213,0,3897944,1,
5339,0,3395752,0,
5344,0,3395804,1,
5361,0,3395884,1,
5231,0,4316164,1,
5219,0,3897876,0,
5300,0,3925036,1,
5273,0,3923128,0,
5277,0,3923236,0,
5285,0,3924180,1,
5326,0,3395696,0,
5370,0,3399268,1,
5368,0,3396188,1,
5332,0,3395716,1,
5342,0,3395764,1,
5343,0,3395800,0,
5375,0,3399620,0,
5355,0,3395860,0,
5377,0,3399628,0,
5372,0,3399316,1,
5349,0,3395836,0,
5380,0,3399640,1,
5393,0,3399916,0,
5414,0,3401124,1,
5405,0,3400280,0,
5415,0,3401272,1,
5446,0,3923212,1,
5449,0,3923236,0,
5392,0,3399912,0,
5408,0,3400292,1,
5435,0,3923172,0,
5437,0,3923180,0,
5400,0,3399944,1,
5413,0,3401120,0,
5441,0,3923196,0,
5466,0,3902260,1,
5478,0,3902668,1,
5477,0,3902316,1,
5488,0,3923672,0,
5490,0,3923524,1,
5493,0,3923592,1,
5497,0,3923644,1,
5509,0,3924360,0,
5515,0,3924384,1,
5522,0,3924692,0,
5519,0,3924680,0,
5528,0,3925160,1,
5531,0,3925272,0,
5530,0,3925268,0,
5533,0,3925280,1,
5557,0,3289208,1,
5556,0,3289204,0,
5561,0,3289348,0,
5567,0,3289372,1,
5579,0,3926220,1,
5583,0,3926284,0,
5593,0,3926492,1,
5619,0,4316164,1,
5727,0,3395752,0,
5732,0,3395804,1,
5749,0,3395884,1,
5580,0,3926272,0,
5565,0,3289364,0,
5688,0,3925036,1,
5661,0,3923128,0,
5665,0,3923236,0,
5731,0,3395800,0,
5763,0,3399620,0,
5673,0,3924180,1,
5714,0,3395696,0,
5743,0,3395860,0,
5765,0,3399628,0,
5760,0,3399316,1,
5737,0,3395836,0,
5758,0,3399268,1,
5756,0,3396188,1,
5720,0,3395716,1,
5730,0,3395764,1,
5768,0,3399640,1,
5781,0,3399916,0,
5802,0,3401124,1,
5793,0,3400280,0,
5780,0,3399912,0,
5796,0,3400292,1,
5803,0,3401272,1,
5788,0,3399944,1,
5801,0,3401120,0,
5834,0,3923212,1,
5823,0,3923172,0,
5825,0,3923180,0,
5829,0,3923196,0,
5837,0,3923236,0,
5854,0,3902260,1,
5866,0,3902668,1,
5865,0,3902316,1,
5876,0,3923672,0,
5878,0,3923524,1,
5881,0,3923592,1,
5885,0,3923644,1,
5897,0,3924360,0,
5903,0,3924384,1,
5910,0,3924692,0,
5907,0,3924680,0,
5916,0,3925160,1,
5919,0,3925272,0,
5918,0,3925268,0,
5921,0,3925280,1,
5945,0,3289208,1,
5944,0,3289204,0,
5949,0,3289348,0,
5955,0,3289372,1,
5967,0,3926220,1,
5968,0,3926272,0,
5953,0,3289364,0,
5971,0,3926284,0,
5981,0,3926492,1,
6007,0,4316164,1,
6028,0,3737560,1,
6047,0,4413520,0,
6049,0,4413528,1,
6053,0,4414076,0,
6058,0,4414096,1,
6062,0,4413616,0,
6068,0,4413640,1,
6069,0,4413680,0,
6073,0,4413696,1,
6075,0,4414152,1,
6108,0,4316164,1,
6120,0,3897744,0,
6131,0,3897788,0,
6132,0,3897792,1,
6134,0,3897912,0,
6137,0,3897924,0,
6138,0,3897928,1,
6208,0,3840524,0,
6210,0,3840532,1,
6230,0,3845184,1,
6234,0,3845244,1,
6247,0,3845380,1,
6253,0,3845420,0,
6271,0,4316864,0,
6279,0,4316896,0,
6295,0,4316976,0,
6300,0,4316992,0,
6148,0,4316164,1,
6304,0,4317004,1,
6310,0,4317032,0,
6321,0,4316940,1,
6386,0,3896612,1,
6414,0,3896788,1,
6350,0,4316164,1,
6397,0,4316164,1,
6419,0,3896844,0,
6422,0,3896856,1,
6430,0,3897056,1,
6432,0,3897104,1,
6445,0,4316164,1,
6461,0,3901968,1,
6471,0,3902036,1,
6481,0,4316164,1,
6503,0,3746032,1,
6502,0,3746004,1,
6508,0,3746088,1,
6530,0,4316164,1,
6541,0,3909720,0,
6543,0,3909728,0,
6555,0,3909776,1,
6557,0,3909876,0,
6554,0,3909772,0,
6561,0,3909892,1,
6560,0,3909888,0,
6580,0,4316164,1,
6597,0,3896788,1,
6644,0,3901968,1,
6602,0,3896844,0,
6628,0,4316164,1,
6605,0,3896856,1,
6615,0,3897104,1,
6613,0,3897056,1,
6691,0,3746088,1,
6654,0,3902036,1,
6664,0,4316164,1,
6686,0,3746032,1,
6685,0,3746004,1,
6725,0,3897744,0,
6736,0,3897788,0,
6737,0,3897792,1,
6739,0,3897912,0,
6713,0,4316164,1,
6742,0,3897924,0,
6743,0,3897928,1,
6789,0,3896612,1,
6816,0,3901968,1,
6753,0,4316164,1,
6800,0,4316164,1,
6826,0,3902036,1,
6836,0,4316164,1,
6848,0,3897744,0,
6859,0,3897788,0,
6860,0,3897792,0,
6863,0,3897804,0,
6862,0,3897800,0,
6867,0,3897820,1,
6866,0,3897816,0,
6908,0,3899576,1,
6877,0,4316164,1,
6912,0,3899696,0,
6922,0,3899736,0,
6940,0,4316864,0,
6948,0,4316896,0,
6964,0,4316976,1,
6967,0,4317032,0,
6991,0,4317260,1,
6995,0,4317432,1,
6998,0,4318440,0,
7016,0,4317228,1,
7024,0,4316940,1,
7053,0,4316164,1,
7075,0,3926736,1,
7086,0,3926812,0,
7089,0,3926824,0,
7095,0,3926872,1,
7108,0,3926996,1,
7105,0,3926984,0,
7111,0,3927512,0,
7121,0,3927660,0,
7116,0,3927568,1,
7134,0,3927708,1,
7122,0,3927664,0,
7137,0,3927932,0,
7126,0,3927680,0,
7125,0,3927676,0,
7161,0,4316164,1,
7173,0,3897744,0,
7185,0,3897792,1,
7184,0,3897788,0,
7187,0,3897912,0,
7190,0,3897924,0,
7191,0,3897928,0,
7195,0,3897944,1,
7213,0,4316164,1,
7201,0,3897876,0,
7249,0,3896612,1,
7276,0,3901968,1,
7311,0,3896428,1,
7260,0,4316164,1,
7286,0,3902036,1,
7296,0,4316164,1,
7346,0,3737560,1,
7365,0,4413520,0,
7367,0,4413528,1,
7376,0,4414096,1,
7371,0,4414076,0,
7380,0,4413616,0,
7325,0,4316164,1,
7386,0,4413640,1,
7387,0,4413680,1,
7389,0,4414152,1,
7422,0,4316164,1,
7434,0,3897744,0,
7446,0,3897792,1,
7445,0,3897788,0,
7448,0,3897912,0,
7452,0,3897928,1,
7451,0,3897924,0,
7498,0,3896612,1,
7462,0,4316164,1,
7524,0,3896428,1,
7555,0,3896788,1,
7615,0,3898068,1,
7509,0,4316164,1,
7538,0,4316164,1,
7586,0,4316164,1,
7560,0,3896844,0,
7563,0,3896856,1,
7573,0,3897104,1,
7571,0,3897056,1,
7616,0,3898156,1,
7621,0,3898996,1,
7623,0,3899124,0,
7641,0,4341396,0,
7648,0,4341420,0,
7653,0,4341440,1,
7675,0,4341600,1,
7660,0,4341480,0,
7663,0,4341492,0,
7683,0,4343808,1,
7679,0,4342052,0,
7682,0,4342064,1,
7688,0,4343840,1,
7697,0,4343888,1,
7711,0,3899148,1,
7730,0,4316164,1,
7761,0,3899576,1,
7765,0,3899696,1,
7776,0,4316164,1,
7804,0,3844476,1,
7827,0,3844612,1,
7833,0,3844684,1,
7845,0,3844776,0,
7892,0,4316164,1,
7934,0,3923128,0,
7797,0,3844308,1,
7938,0,3923236,0,
7961,0,3925036,1,
8000,0,3395752,0,
8005,0,3395804,1,
8022,0,3395884,1,
7946,0,3924180,1,
7987,0,3395696,0,
8004,0,3395800,0,
8036,0,3399620,0,
8016,0,3395860,0,
8038,0,3399628,0,
8031,0,3399268,1,
8033,0,3399316,1,
8029,0,3396188,1,
7993,0,3395716,1,
8010,0,3395836,0,
8003,0,3395764,1,
8041,0,3399640,1,
8054,0,3399916,0,
8066,0,3400280,0,
8075,0,3401124,1,
8076,0,3401272,1,
8107,0,3923212,1,
8110,0,3923236,0,
8053,0,3399912,0,
8069,0,3400292,1,
8096,0,3923172,0,
8098,0,3923180,0,
8061,0,3399944,1,
8074,0,3401120,0,
8102,0,3923196,0,
8127,0,3902260,1,
8139,0,3902668,1,
8138,0,3902316,1,
8149,0,3923672,0,
8151,0,3923524,1,
8154,0,3923592,1,
8158,0,3923644,1,
8170,0,3924360,0,
8176,0,3924384,1,
8183,0,3924692,0,
8180,0,3924680,0,
8189,0,3925160,1,
8192,0,3925272,0,
8191,0,3925268,0,
8194,0,3925280,1,
8218,0,3289208,1,
8217,0,3289204,0,
8222,0,3289348,0,
8228,0,3289372,1,
8240,0,3926220,1,
8241,0,3926272,0,
8244,0,3926284,0,
8254,0,3926492,1,
8280,0,4316164,1,
8309,0,3919076,1,
8305,0,3918932,1,
8321,0,3919428,1,
8226,0,3289364,0,
8322,0,3919452,0,
8334,0,3919520,1,
8332,0,3919512,0,
8341,0,3919616,1,
8343,0,3919572,1,
8358,0,3919736,1,
8353,0,3919584,1,
8350,0,3919648,1,
8400,0,4240524,0,
8405,0,4240544,0,
8328,0,3919496,0,
8409,0,4241120,0,
8355,0,3919692,1,
8413,0,4241136,0,
8419,0,4241160,0,
8422,0,4241172,1,
8439,0,4241344,0,
8432,0,4241316,0,
8476,0,4241896,0,
8483,0,4241924,0,
8469,0,4241456,1,
8493,0,4242184,1,
8491,0,4242100,1,
8522,0,4242424,0,
8519,0,4242368,1,
8529,0,4242452,0,
8534,0,4243296,0,
8575,0,4253228,1,
8548,0,4243344,1,
8598,0,4253352,1,
8668,0,4253860,0,
8622,0,4253616,1,
8699,0,4254024,0,
8695,0,4254004,0,
8719,0,4253860,0,
8711,0,4258440,0,
8750,0,4254024,0,
8746,0,4254004,0,
8761,0,4258400,1,
8764,0,4269236,1,
8765,0,4269360,1,
8773,0,4277992,1,
8771,0,4277824,1,
8774,0,4278320,1,
8791,0,4243404,1,
8793,0,4243628,1,
8796,0,4243648,0,
8815,0,4316864,0,
8823,0,4316896,0,
8839,0,4316976,0,
8844,0,4316992,1,
8850,0,4317032,0,
8858,0,4322868,0,
8861,0,4322880,0,
8867,0,4316940,1,
8888,0,4243672,1,
8892,0,4245060,0,
8911,0,4316864,0,
8919,0,4316896,0,
8935,0,4316976,0,
8940,0,4316992,0,
8944,0,4317004,1,
8950,0,4317032,0,
8969,0,4252976,1,
8970,0,4252984,1,
8978,0,4253132,1,
8988,0,4316940,1,
9023,0,3919912,1,
9007,0,4245076,1,
9026,0,3920844,0,
9034,0,3920968,0,
9032,0,3920956,1,
9057,0,4316164,1,
9068,0,3909720,0,
9107,0,4316164,1,
9070,0,3909728,0,
9082,0,3909776,1,
9084,0,3909876,0,
9081,0,3909772,0,
9088,0,3909892,1,
9123,0,3711692,0,
9087,0,3909888,0,
9125,0,3711700,1,
9136,0,4316164,1,
9153,0,3896788,1,
9158,0,3896844,0,
9161,0,3896856,1,
9169,0,3897056,1,
9171,0,3897104,1,
9184,0,4316164,1,
9246,0,4316164,1,
9277,0,3899576,1,
9200,0,3909428,0,
9216,0,3909492,0,
9234,0,3909668,0,
9207,0,3909456,0,
9223,0,3909520,1,
9281,0,3899696,0,
9291,0,3899736,1,
9302,0,4316164,1,
9410,0,3395752,0,
9415,0,3395804,1,
9371,0,3925036,1,
9432,0,3395884,1,
9344,0,3923128,0,
9348,0,3923236,0,
9414,0,3395800,0,
9446,0,3399620,0,
9356,0,3924180,1,
9397,0,3395696,0,
9426,0,3395860,0,
9448,0,3399628,0,
9443,0,3399316,1,
9420,0,3395836,0,
9441,0,3399268,1,
9439,0,3396188,1,
9403,0,3395716,1,
9413,0,3395764,1,
9451,0,3399640,1,
9464,0,3399916,0,
9485,0,3401124,1,
9476,0,3400280,0,
9463,0,3399912,0,
9479,0,3400292,1,
9486,0,3401272,1,
9471,0,3399944,1,
9484,0,3401120,0,
9517,0,3923212,1,
9506,0,3923172,0,
9508,0,3923180,0,
9512,0,3923196,0,
9520,0,3923236,0,
9537,0,3902260,1,
9549,0,3902668,1,
9548,0,3902316,1,
9559,0,3923672,0,
9561,0,3923524,1,
9564,0,3923592,1,
9568,0,3923644,1,
9580,0,3924360,0,
9586,0,3924384,1,
9593,0,3924692,0,
9590,0,3924680,0,
9599,0,3925160,1,
9602,0,3925272,0,
9601,0,3925268,0,
9604,0,3925280,1,
9628,0,3289208,1,
9627,0,3289204,0,
9632,0,3289348,0,
9638,0,3289372,1,
9650,0,3926220,1,
9651,0,3926272,0,
9636,0,3289364,0,
9654,0,3926284,0,
9664,0,3926492,1,
9690,0,4316164,1,
9719,0,3919076,1,
9715,0,3918932,1,
9731,0,3919428,1,
9732,0,3919452,0,
9738,0,3919496,0,
9744,0,3919520,1,
9742,0,3919512,0,
9751,0,3919616,1,
9753,0,3919572,1,
9768,0,3919736,1,
9763,0,3919584,1,
9760,0,3919648,1,
9810,0,4240524,0,
9815,0,4240544,0,
9819,0,4241120,0,
9829,0,4241160,0,
9832,0,4241172,1,
9849,0,4241344,0,
9886,0,4241896,0,
9893,0,4241924,0,
9879,0,4241456,1,
9903,0,4242184,1,
9901,0,4242100,1,
9932,0,4242424,0,
9929,0,4242368,1,
9939,0,4242452,0,
9944,0,4243296,0,
9958,0,4243344,1,
9985,0,4253228,1,
10008,0,4253352,1,
10078,0,4253860,0,
10032,0,4253616,1,
10109,0,4254024,0,
10121,0,4258440,0,
10129,0,4253860,0,
10160,0,4254024,0,
9765,0,3919692,1,
9823,0,4241136,0,
9842,0,4241316,0,
10105,0,4254004,0,
10156,0,4254004,0,
10171,0,4258400,1,
10174,0,4269236,1,
10175,0,4269360,1,
10183,0,4277992,1,
10181,0,4277824,1,
10184,0,4278320,1,
10201,0,4243404,1,
10203,0,4243628,1,
10206,0,4243648,0,
10225,0,4316864,0,
10233,0,4316896,0,
10249,0,4316976,0,
10254,0,4316992,1,
10260,0,4317032,0,
10268,0,4322868,0,
10271,0,4322880,0,
10277,0,4316940,1,
10298,0,4243672,1,
10302,0,4245060,0,
10321,0,4316864,0,
10329,0,4316896,0,
10345,0,4316976,0,
10350,0,4316992,0,
10354,0,4317004,1,
10360,0,4317032,0,
10379,0,4252976,1,
10380,0,4252984,1,
10388,0,4253132,1,
10398,0,4316940,1,
10433,0,3919912,1,
10417,0,4245076,1,
10436,0,3920844,0,
10444,0,3920968,0,
10442,0,3920956,1,
10467,0,4316164,1,
10478,0,3909720,0,
10517,0,4316164,1,
10480,0,3909728,0,
10492,0,3909776,1,
10494,0,3909876,0,
10491,0,3909772,0,
10498,0,3909892,1,
10533,0,3711692,0,
10497,0,3909888,0,
10535,0,3711700,1,
10546,0,4316164,1,
10563,0,3896788,1,
10568,0,3896844,0,
10571,0,3896856,1,
10579,0,3897056,1,
